[probe] https://www.facebook.com/groups/1594069521337374 (max 12, est $0.070)
[probe]   12 items, title='Dental Office Managers'
[probe] https://www.facebook.com/groups/1503414633296362 (max 12, est $0.070)
[probe]   12 items, title='Rural Health Clinics Information Exchange'
[probe] https://www.facebook.com/groups/1234383310708351 (max 12, est $0.070)
[probe]   12 items, title='Medical and Healthcare VA community'
[probe] https://www.facebook.com/groups/1609888809770903 (max 12, est $0.070)
[probe]   12 items, title='Aetna Medicare Advantage Members'
[probe] https://www.facebook.com/groups/1123047789852358 (max 12, est $0.070)
[probe]   12 items, title='Dme posting'
[probe] https://www.facebook.com/groups/368427913735844 (max 12, est $0.070)
[probe]   12 items, title='Entry-Level Medical Coders'
[probe] https://www.facebook.com/groups/153075608691474 (max 12, est $0.070)
[probe]   12 items, title='eCW users forum'
[probe] https://www.facebook.com/groups/667837087205621 (max 12, est $0.070)
[probe]   12 items, title='Credentialing and Provider Enrollment Mentor'
[probe] https://www.facebook.com/groups/2832083760354364 (max 12, est $0.070)
[probe]   12 items, title='Private Practice / Business Support Group(PPBSG)'
[probe] https://www.facebook.com/groups/541137026613054 (max 12, est $0.070)
[probe]   12 items, title='Home Health PDGM Billing'
[probe] https://www.facebook.com/groups/892459929806231 (max 12, est $0.070)
[probe]   12 items, title='Mental Health Billing Support'
[probe] https://www.facebook.com/groups/41571027412 (max 12, est $0.070)
[probe]   12 items, title='The Medical Billing and Coding Facebook Group'
[probe] https://www.facebook.com/groups/143178773693527 (max 12, est $0.070)
[probe]   12 items, title='Telehealth Counseling Tips For Therapist'
[probe] https://www.facebook.com/groups/295682304556086 (max 12, est $0.070)
[probe]   12 items, title='Indiana Social Workers'
[probe] https://www.facebook.com/groups/ChiropracticBilling (max 12, est $0.070)
[probe]   1 items, title=None
[probe] https://www.facebook.com/groups/massageinsurancebilling (max 12, est $0.070)
[probe]   1 items, title=None
[probe] https://www.facebook.com/groups/553528670079750 (max 12, est $0.070)
[probe]   12 items, title='Revenue Cycle Management Medical Billing'
[probe] https://www.facebook.com/groups/399772054694602 (max 12, est $0.070)
[probe]   12 items, title='LMHC Licensed Mental Health Counselors and LPC Central'
[probe] https://www.facebook.com/groups/405137378221444 (max 12, est $0.070)
[probe]   12 items, title='Medical Practice Managers Increasing Revenue through CCM'
[probe] https://www.facebook.com/groups/266108444522 (max 12, est $0.070)
[probe]   7 items, title=None
[probe] https://www.facebook.com/groups/270611999954483 (max 12, est $0.070)
[probe]   12 items, title='You Know What Concerns Me These Days - Tell Me'
estimated spend so far: $1.963 of $3.50
EXIT 0
